col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_9969 86.5743 26.6596 20.801 17.5136 38.3146 5753.3096 26.64 0.01305 0.0 0.0 1.0 1.0 2.085 0.0 -0.0 3.71 0.0 0.0 4.028 7.212 False
0_27896 37.3099 36.5704 6.3187 5.5374 11.8561 1835.7095 232.29 0.99114 36.8421 63.6185 0.9654 0.626 16.48 -2.582 -13.82 38.56 -5.842 2.421 6.085 6.186 True
0_36580 105.0017 32.9873 23.5065 20.1829 43.6894 5613.4604 29.224 0.011444 0.0 0.0 1.0 1.0 1.815 0.0 0.0 3.287 0.0 0.0 3.831 6.688 False
0_76462 88.5196 28.8583 21.3437 18.1848 39.528499999999994 9240.5557 30.799 0.012649 0.0 0.0 1.0 1.0 1.951 -0.0 0.0 3.378 0.0 -0.0 3.999 7.057 False
0_79508 81.7257 25.5138 19.5816 16.9496 36.5312 2682.1086 21.207 0.013687 0.0 0.0 1.0 1.0 2.217 0.0 -0.0 4.204 0.0 -0.0 4.105 7.346 False
0_79749 102.3317 34.1225 23.7558 20.2452 44.001000000000005 13023.3398 36.445 0.011363 0.0 0.0 1.0 1.0 1.724 -0.0 0.0 2.943 0.0 0.0 3.847 6.65 False
0_80229 76.2744 24.054 18.9644 16.1295 35.093900000000005 5192.688 24.303 0.014247 0.0 0.0 1.0 1.0 2.249 0.0 0.0 4.04 0.0 0.0 4.193 7.554 False
0_112080 66.8662 21.5923 17.1116 14.7533 31.8649 6035.9082 23.499 0.015691 0.0 0.0 1.0 1.0 2.399 -0.0 0.0 4.284 0.0 -0.0 4.403 7.975 False
0_112298 93.3403 28.3553 22.0834 18.3326 40.416 7763.0337 29.931 0.012371 0.0 0.0 1.0 1.0 1.974 0.0 -0.0 3.43 0.0 0.0 3.941 7.034 False
0_147741 69.8017 23.1254 17.8511 15.3699 33.221 12866.6504 29.435 0.015051 0.0 0.0 1.0 1.0 2.183 -0.0 0.0 3.752 0.0 0.0 4.326 7.773 False
0_169816 72.7696 23.2905 18.4782 15.6513 34.1295 11693.5039 29.3 0.01465 0.0 0.0 1.0 1.0 2.195 0.0 0.0 3.738 0.0 -0.0 4.26 7.695 False
0_211933 76.4834 24.6879 19.1393 16.3065 35.4458 7876.1562 27.242 0.014106 0.0 0.0 1.0 1.0 2.173 0.0 0.0 3.794 0.0 0.0 4.187 7.508 False
0_224045 99.3427 32.7255 23.2293 19.7375 42.9668 12257.8086 35.247 0.011637 0.0 0.0 1.0 1.0 1.774 0.0 -0.0 3.033 -0.0 0.0 3.875 6.739 False
0_235196 100.7937 30.9549 23.0238 19.4072 42.431 6514.2324 29.688 0.011784 0.0 0.0 1.0 1.0 1.879 -0.0 -0.0 3.338 0.0 0.0 3.866 6.819 False
0_237256 75.0179 22.6968 18.702 15.6311 34.3331 4742.9067 23.353 0.014563 0.0 0.0 1.0 1.0 2.342 0.0 -0.0 4.2 -0.0 0.0 4.218 7.685 False
0_275227 84.3839 26.854 20.1796 17.4687 37.6483 3689.2188 23.497 0.013281 0.0 0.0 1.0 1.0 2.122 0.0 -0.0 3.934 0.0 0.0 4.062 7.222 False
0_286598 64.3715 20.7194 16.6059 14.3166 30.9225 11796.499 27.282 0.016169 0.0 0.0 1.0 1.0 2.331 0.0 0.0 4.037 0.0 -0.0 4.471 8.132 False
0_287797 65.8556 20.998 16.9529 14.5139 31.4668 11987.6738 27.751 0.01589 0.0 0.0 1.0 1.0 2.315 0.0 -0.0 3.98 0.0 -0.0 4.429 8.062 False
0_335978 73.6377 22.1749 18.6832 15.4543 34.1375 13163.3545 30.192 0.014647 0.0 0.0 1.0 1.0 2.228 -0.0 0.0 3.722 -0.0 -0.0 4.241 7.766 False
0_337071 85.4171 27.1828 20.9454 17.5314 38.4768 11987.1855 32.252 0.012995 0.0 0.0 1.0 1.0 1.994 -0.0 -0.0 3.374 0.0 -0.0 4.039 7.2 False
0_366018 29.6216 12.5335 3.3609 3.8416 7.202500000000001 6745.2109 58.709 0.95225 114.8242 134.029 0.4972 0.7364 12.68 -5.081 9.623 93.85 -21.96 -9.273 7.32 12.65 True
0_381916 71.9697 23.5855 18.3033 15.6747 33.978 11089.3467 28.815 0.014715 0.0 0.0 1.0 1.0 2.187 0.0 0.0 3.759 0.0 -0.0 4.277 7.685 False
0_440116 45.2801 41.8515 12.1415 13.1297 25.2712 64.5084 6.2609 0.10785 0.0 4.9492 1.0 1.0 73.63 15.8 -0.0 14.88 -0.7701 -0.06982 5.313 5.796 True
0_449823 67.0475 21.3795 17.164 14.7133 31.8773 6820.7886 24.251 0.015685 0.0 0.0 1.0 1.0 2.391 0.0 0.0 4.228 0.0 -0.0 4.398 7.989 False
0_484158 81.3226 26.2199 19.734 17.0836 36.8176 4320.4175 24.049 0.01358 0.0 0.0 1.0 1.0 2.147 -0.0 -0.0 3.933 0.0 -0.0 4.108 7.31 False
0_489611 89.4139 28.9057 21.4832 18.2557 39.7389 8696.8535 30.443 0.012582 0.0 0.0 1.0 1.0 1.952 -0.0 -0.0 3.393 0.0 -0.0 3.988 7.041 False
0_492765 85.1813 26.9256 20.8353 17.458 38.2933 10136.0938 30.785 0.013057 0.0 0.0 1.0 1.0 2.024 0.0 0.0 3.46 0.0 0.0 4.043 7.219 False
0_524341 107.4447 31.6458 24.1514 19.8807 44.0321 8331.5918 32.494 0.011355 0.0 0.0 1.0 1.0 1.825 -0.0 -0.0 3.166 0.0 0.0 3.807 6.739 False
0_538077 72.2961 23.1836 18.1501 15.6047 33.754799999999996 4939.4014 23.31 0.014813 0.0 0.0 1.0 1.0 2.317 0.0 -0.0 4.185 0.0 0.0 4.274 7.702 False
0_556224 97.4375 28.4937 23.0261 18.5372 41.5633 11639.0605 33.884 0.01203 0.0 0.0 1.0 1.0 1.923 0.0 0.0 3.223 0.0 -0.0 3.893 6.989 False
0_572220 59.9317 18.7558 15.5138 12.5672 28.081 7588.9546 22.644 0.028489 0.0 6.5554 1.0 1.0 2.582 0.0 0.0 14.87 1.81 -0.6881 4.616 8.481 False
0_573663 67.7748 21.452 17.262 14.796 32.058 5458.6655 23.004 0.015597 0.0 0.0 1.0 1.0 2.415 -0.0 -0.0 4.329 0.0 0.0 4.38 7.961 False
0_668541 80.4642 25.994 19.6162 16.9679 36.5841 4386.6152 24.026 0.013667 0.0 0.0 1.0 1.0 2.159 0.0 0.0 3.948 0.0 -0.0 4.121 7.339 False
0_706841 96.1912 29.5353 22.3427 18.8039 41.1466 6044.4404 28.46 0.012152 0.0 0.0 1.0 1.0 1.945 0.0 0.0 3.464 0.0 -0.0 3.912 6.935 False
0_715405 35.2583 21.6823 23.0333 9.4133 32.446600000000004 739.6616 1277.3 0.99823 3.2032 55.6313 0.9988 0.7617 -0.000553 -0.2268 -1.454 25.48 2.246 0.3942 6.311 9.595 False
0_718038 65.7717 20.3563 16.9347 14.3393 31.274 11048.9287 27.046 0.015988 0.0 0.0 1.0 1.0 2.375 0.0 0.0 4.065 -0.0 -0.0 4.431 8.125 False
0_751362 89.8783 27.2295 20.9333 17.8911 38.8244 3013.3025 22.849 0.012879 0.0 0.0 1.0 1.0 2.105 0.0 -0.0 3.952 0.0 -0.0 3.99 7.128 False
0_802303 32.7419 11.5943 5.2698 3.6299 8.8997 5501.6211 126.82 0.97902 36.2722 136.31 0.976 0.9993 7.116 3.036 -2.412 69.16 34.28 -0.2775 6.703 12.53 True
0_804866 92.8158 29.8881 22.2438 18.6722 40.916 13317.877 34.699 0.01222 0.0 0.0 1.0 1.0 1.868 0.0 -0.0 3.15 0.0 -0.0 3.944 6.952 False
0_839197 69.0701 21.1347 17.5717 14.8151 32.3868 5808.5835 23.544 0.015438 0.0 0.0 1.0 1.0 2.42 0.0 -0.0 4.29 0.0 -0.0 4.347 7.956 False
0_868032 64.0243 20.7295 16.5193 14.2763 30.7956 9975.3945 26.054 0.016236 0.0 0.0 1.0 1.0 2.37 -0.0 -0.0 4.134 0.0 0.0 4.482 8.144 False
0_892933 34.3753 24.9888 21.7066 12.2215 33.9281 6336.1753 2923.6 0.99827 3.0344 72.3633 1.0 0.5209 0.6523 1.204 0.2665 25.77 -17.89 -0.9025 6.435 8.395 False
0_895993 126.3834 36.2132 26.1777 21.8516 48.029300000000006 8145.1353 34.493 0.01041 0.0 0.0 1.0 1.0 1.66 0.0 0.0 2.923 0.0 -0.0 3.686 6.435 False
0_1005152 61.7678 19.2347 15.9611 13.1975 29.1586 5777.6509 21.717 0.0014764 0.0 10.126 1.0 0.9999 2.573 0.0 0.0 13.19 0.338 -2.397 4.554 8.364 False
0_1010116 56.3465 17.7144 14.5531 11.2947 25.8478 3246.0654 17.173 0.063676 0.0 9.7848 1.0 1.0 2.855 0.0 0.0 25.02 -3.766 -0.8599 4.757 8.739 False
